"SECURITIES","ERROR CODE","NUM FLDS","OPT_EXPIRE_DT","OPT_STRIKE_PX","PX_BID","PX_MID","PX_ASK","OPT_PUT_CALL","DAYS_TO_MTY","TODAY_DT","OPT_DAYS_EXPIRE"
"SPX US 01/15/16 C300 Index",0,9,"01/15/2016",300.000000  ,1741.300000  ,1741.550000  ,1741.800000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C400 Index",0,9,"01/15/2016",400.000000  ,1641.300000  ,1641.550000  ,1641.800000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C500 Index",0,9,"01/15/2016",500.000000  ,1541.400000  ,1541.650000  ,1541.900000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C600 Index",0,9,"01/15/2016",600.000000  ,1441.400000  ,1441.650000  ,1441.900000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C700 Index",0,9,"01/15/2016",700.000000  ,1341.400000  ,1341.650000  ,1341.900000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C750 Index",0,9,"01/15/2016",750.000000  ,1291.400000  ,1291.650000  ,1291.900000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C800 Index",0,9,"01/15/2016",800.000000  ,1241.400000  ,1241.650000  ,1241.900000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C850 Index",0,9,"01/15/2016",850.000000  ,1191.500000  ,1191.750000  ,1192.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C900 Index",0,9,"01/15/2016",900.000000  ,1141.500000  ,1141.750000  ,1142.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C925 Index",0,9,"01/15/2016",925.000000  ,1116.500000  ,1116.750000  ,1117.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C950 Index",0,9,"01/15/2016",950.000000  ,1091.500000  ,1091.750000  ,1092.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C975 Index",0,9,"01/15/2016",975.000000  ,1066.500000  ,1066.750000  ,1067.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1000 Index",0,9,"01/15/2016",1000.000000  ,1041.500000  ,1041.750000  ,1042.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1025 Index",0,9,"01/15/2016",1025.000000  ,1016.500000  ,1016.750000  ,1017.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1050 Index",0,9,"01/15/2016",1050.000000  ,991.500000  ,991.750000  ,992.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1075 Index",0,9,"01/15/2016",1075.000000  ,966.500000  ,966.750000  ,967.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1100 Index",0,9,"01/15/2016",1100.000000  ,941.500000  ,941.750000  ,942.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1125 Index",0,9,"01/15/2016",1125.000000  ,916.500000  ,916.750000  ,917.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1150 Index",0,9,"01/15/2016",1150.000000  ,891.500000  ,891.750000  ,892.000000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1175 Index",0,9,"01/15/2016",1175.000000  ,866.600000  ,866.850000  ,867.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1200 Index",0,9,"01/15/2016",1200.000000  ,841.600000  ,841.850000  ,842.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1220 Index",0,9,"01/15/2016",1220.000000  ,821.600000  ,821.850000  ,822.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1225 Index",0,9,"01/15/2016",1225.000000  ,816.600000  ,816.850000  ,817.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1240 Index",0,9,"01/15/2016",1240.000000  ,801.600000  ,801.850000  ,802.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1250 Index",0,9,"01/15/2016",1250.000000  ,791.600000  ,791.850000  ,792.100000  ,"Call",14  ,"12/31/2015",15  ,
